,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chifeng,42.2683,118.9636,24.28,88,0,13.47,CN,1612457243
1,Jamestown,42.097,-79.2353,34.0,80,20,5.75,US,1612457119
2,Bluff,-46.6,168.3333,46.65,82,41,7.83,NZ,1612457245
3,Poum,-20.2333,164.0167,79.83,83,12,15.82,NC,1612457247
4,Khovd,48.0056,91.6419,20.01,81,99,6.73,MN,1612457248
5,Tétouan,35.5711,-5.3724,60.8,82,75,5.75,MA,1612456957
6,Avarua,-21.2078,-159.775,75.2,94,20,2.3,CK,1612457250
7,Qaanaaq,77.484,-69.3632,-21.42,58,42,6.93,GL,1612457251
8,Rikitea,-23.1203,-134.9692,78.21,69,100,10.87,PF,1612457252
9,Esperance,-33.8667,121.9,55.4,82,90,10.36,AU,1612457253
10,Shatrovo,56.5167,64.6333,16.41,97,100,7.4,RU,1612457256
11,Mahon,39.8885,4.2658,55.4,94,75,4.61,ES,1612457257
12,Kirksville,40.1948,-92.5833,37.4,93,90,11.5,US,1612457258
13,Barrow,71.2906,-156.7887,-27.4,68,1,10.36,US,1612457259
14,Busselton,-33.65,115.3333,55.99,65,0,14.09,AU,1612457260
15,Saint George,37.1041,-113.5841,46.0,45,1,8.05,US,1612457261
16,Fare,-16.7,-151.0167,80.83,66,16,4.5,PF,1612457262
17,Tommot,58.9564,126.2925,-26.41,78,85,0.81,RU,1612457264
18,Butaritari,3.0707,172.7902,80.26,84,100,14.27,KI,1612457265
19,Makakilo City,21.3469,-158.0858,62.6,88,1,3.44,US,1612457266
20,Longyearbyen,78.2186,15.6401,19.4,58,40,16.11,SJ,1612457267
21,Pisco,-13.7,-76.2167,73.0,83,40,9.22,PE,1612457268
22,Carnarvon,-24.8667,113.6333,79.07,86,100,19.62,AU,1612457269
23,Vaini,-21.2,-175.2,77.0,100,75,2.3,TO,1612457270
24,Edd,13.9297,41.6925,81.59,34,6,24.32,ER,1612457272
25,Camacha,33.0833,-16.3333,53.6,82,40,6.91,PT,1612457273
26,Ambam,2.3833,11.2833,80.13,69,94,4.25,CM,1612457274
27,Robertsport,6.7533,-11.3686,81.91,77,12,11.36,LR,1612457275
28,Puebloviejo,10.9938,-74.2844,89.01,68,11,4.85,CO,1612457276
29,Paramonga,-10.6667,-77.8333,75.42,63,86,9.48,PE,1612457279
30,Kapaa,22.0752,-159.319,62.6,77,90,4.61,US,1612457280
31,Zyryanskoye,56.8306,86.6258,6.13,94,89,7.76,RU,1612457281
32,Ilām,26.9167,87.9167,53.19,57,0,4.54,NP,1612457282
33,Leningradskiy,69.3833,178.4167,-25.83,85,100,6.49,RU,1612457283
34,Punta Arenas,-53.15,-70.9167,62.6,48,20,35.68,CL,1612457173
35,Yining,29.0361,114.5636,51.69,88,88,1.14,CN,1612457285
